Fund Name,Umbrella,ManCo,Depositary,Auth_Date,First_Seen
Attestor Recovery Assets Portfolio,Attestor Capital Alternative Strategies ICAV#§,Carne Global Fund Managers (Ireland) Limited,Citco Bank Nederland NV Dublin Branch,2026-04-13,2026-05-10
Attestor Diversified Investments Portfolio,Attestor Capital Alternative Strategies ICAV#§,Carne Global Fund Managers (Ireland) Limited,Citco Bank Nederland NV Dublin Branch,2026-04-13,2026-05-10
Attestor Capital Alternative Strategies ICAV#§,,Carne Global Fund Managers (Ireland) Limited,Citco Bank Nederland NV Dublin Branch,2026-04-13,2026-05-10
Alteralia Real Estate Debt Fund II Families ELTIF ICAV*†,,"Alantra Multi Asset SGIIC, S.A.U",Société Générale SA,2026-04-10,2026-05-10
VAIL FUND 1†,VAIL ICAV#§,JTC Global AIFM Solutions (Ireland) Limited,INDOS Financial (Ireland) Depositary Limited,2026-04-07,2026-05-10
VAIL ICAV#§,,JTC Global AIFM Solutions (Ireland) Limited,INDOS Financial (Ireland) Depositary Limited,2026-04-07,2026-05-10
PGIM Global Private Credit ELTIF†,PGIM Private Capital Fund (Ireland) ICAV#§,PGIM Private Capital (Ireland) Limited,SEI Investments - Depositary and Custodial Services,2026-04-02,2026-05-10
PGIM Global Private Credit US Fund†,PGIM Private Capital Fund (Ireland) ICAV#§,PGIM Private Capital (Ireland) Limited,SEI Investments - Depositary and Custodial Services,2026-04-02,2026-05-10
Winton M&G Trend Fund ICAV#,,Winton Capital Management Ltd,BNY Mellon SA/NV Dublin Branch,2026-04-01,2026-05-10
SPARX Shinka FundØ,Infinity Funds ICAV#§,Infinity Investment Management Limited,BNP Paribas SA,2026-04-01,2026-05-10
The Old Masters Feeder Fund ICAV#Ø,,The Old Masters LLP,State Street Custodial Services (Ireland) Limited,2026-03-31,2026-05-10
The Old Masters Fund ICAV#Ø,,The Old Masters LLP,State Street Custodial Services (Ireland) Limited,2026-03-31,2026-05-10
PGIM Lending E Fund (Foxtrot)†,PGIM Private Capital Fund (Ireland) ICAV#§,PGIM Private Capital (Ireland) Limited,SEI Investments - Depositary and Custodial Services,2026-03-30,2026-05-10
Aurum Strategic Alternatives FundØ,Aurum Funds ICAV#§,Waystone Management Company (IE) Limited,Northern Trust Fiduciary Services (Ireland) Limited,2026-03-27,2026-05-10
Norlantic Strategic Opportunities I†,Norlantic ICAV#†,JTC Global AIFM Solutions (Ireland) Limited,INDOS Financial (Ireland) Depositary Limited,2026-03-26,2026-05-10
KL European Solutions Fund 6†,KL European Solutions ICAV#§,Alter Domus Management Company SA,Alter Domus Depositary Services (Ireland) Limited,2026-03-26,2026-05-10
Fortress Moraea MO FundØ,DBD Investment Holdings FundØ,C/O The Corporation Trust Company,,2026-03-25,2026-05-10
AXA Belgian Feeder Non-Life EUR†,AXA Global Private Debt Fund ICAV#§,BNP PARIBAS ASSET MANAGEMENT Prime,BNY Mellon SA/NV Dublin Branch,2026-03-25,2026-05-10
ABF HY 2026 USD†,AXA Global Private Debt Fund ICAV#§,BNP PARIBAS ASSET MANAGEMENT Prime,BNY Mellon SA/NV Dublin Branch,2026-03-25,2026-05-10
IPV Holdings Fund†,DBD Investment Holdings FundØ,C/O The Corporation Trust Company,,2026-03-25,2026-05-10
KL European Solutions Fund 5†,KL European Solutions ICAV#§,Alter Domus Management Company SA,Alter Domus Depositary Services (Ireland) Limited,2026-03-23,2026-05-10
KL European Solutions Fund 4†,KL European Solutions ICAV#§,Alter Domus Management Company SA,Alter Domus Depositary Services (Ireland) Limited,2026-03-23,2026-05-10
KL European Solutions Fund 3†,KL European Solutions ICAV#§,Alter Domus Management Company SA,Alter Domus Depositary Services (Ireland) Limited,2026-03-23,2026-05-10
KL European Solutions ICAV#§,,Alter Domus Management Company SA,Alter Domus Depositary Services (Ireland) Limited,2026-03-23,2026-05-10
KL European Solutions Fund 1†,KL European Solutions ICAV#§,Alter Domus Management Company SA,Alter Domus Depositary Services (Ireland) Limited,2026-03-23,2026-05-10
KL European Solutions Fund 2†,KL European Solutions ICAV#§,Alter Domus Management Company SA,Alter Domus Depositary Services (Ireland) Limited,2026-03-23,2026-05-10
MAG Equity Opportunities Fund,MAG Funds ICAV#§,Waystone Management Company (IE) Limited,Northern Trust Fiduciary Services (Ireland) Limited,2026-03-12,2026-05-10
ATKA Global Aviation Fund,ATKA Aviation Funds ICAV#§,Waystone Management Company (IE) Limited,Northern Trust Fiduciary Services (Ireland) Limited,2026-03-12,2026-05-10
ATKA Aviation Funds ICAV#§,,Waystone Management Company (IE) Limited,Northern Trust Fiduciary Services (Ireland) Limited,2026-03-12,2026-05-10
Capital Protection FundØ,Infinity Funds ICAV#§,Infinity Investment Management Limited,BNP Paribas SA,2026-03-12,2026-05-10
MAG Funds ICAV#§,,Waystone Management Company (IE) Limited,Northern Trust Fiduciary Services (Ireland) Limited,2026-03-12,2026-05-10
Master Allocation Fund,Red Arc Global Investments (Ireland) ICAV#§,Waystone Management Company (IE) Limited,,2026-03-11,2026-05-10
Kenta Capital Financiación Empresas II ICAV#†,,Audentia Capital Management Ltd.,Sparkasse Bank Malta plc,2026-03-09,2026-05-10
Sarda India MultiAlpha Master Fund,Sarda Alternatives ICAV#§,Carne Global Fund Managers (Ireland) Limited,,2026-03-05,2026-05-10
MFI Loan Fund V†,MFI ICAV#§,Carne Global Fund Managers (Ireland) Limited,Citco Bank Nederland NV Dublin Branch,2026-03-04,2026-05-10
Sports Access Fund I†,Private Access - PRIVA ICAV#§,Maples Fund Management Ireland Limited,SEI Investments - Depositary and Custodial Services,2026-03-02,2026-05-10
Taiga Investment Funds ICAV#§,,Taiga Fund Management AS,Northern Trust Fiduciary Services (Ireland) Limited,2026-03-02,2026-05-10
Taiga Fund,Taiga Investment Funds ICAV#§,Taiga Fund Management AS,Northern Trust Fiduciary Services (Ireland) Limited,2026-03-02,2026-05-10
AXA Japan ABF IG USD †,AXA Global Private Debt Fund ICAV#§,BNP PARIBAS ASSET MANAGEMENT Prime,BNY Mellon SA/NV Dublin Branch,2026-02-24,2026-05-10
AlbaCore High Yield Infrastructure Credit Fund†,AlbaCore Capital Group II ICAV#§,AlbaCore Capital Limited,Mitsubishi UFJ Investor Services and Banking,2026-02-23,2026-05-10
AlbaCore Capital Group II Feeder ICAV#§,,AlbaCore Capital Limited,Mitsubishi UFJ Investor Services and Banking,2026-02-23,2026-05-10
AlbaCore Capital Group II ICAV#§,,AlbaCore Capital Limited,Mitsubishi UFJ Investor Services and Banking,2026-02-23,2026-05-10
AlbaCore High Yield Infrastructure Credit Feeder Fund †,AlbaCore Capital Group II Feeder ICAV#§,AlbaCore Capital Limited,Mitsubishi UFJ Investor Services and Banking,2026-02-23,2026-05-10
CX Global (Proprietary USA) Fund,Gaia ICAV#§,West 53 Capital Limited,Sparkasse Bank Malta plc,2026-02-19,2026-05-10
CX Global (Proprietary) Fund,Gaia ICAV#§,West 53 Capital Limited,Sparkasse Bank Malta plc,2026-02-19,2026-05-10
SPCS TCOF I†,"Silver Point Credit Strategies, ICAV#§",Carne Global Fund Managers (Ireland) Limited,European Depositary Bank S.A.,2026-02-16,2026-05-10
"Silver Point Credit Strategies, ICAV#§",,Carne Global Fund Managers (Ireland) Limited,European Depositary Bank S.A.,2026-02-16,2026-05-10
TCP PE VI ICAV- Sirius Fund†,TCP PE VI ICAV#§,TowerBrook Capital Partners L.P.,European Depositary Bank S.A.,2026-02-13,2026-05-10
ROS V Royalty Investments†,OrbiMed Royalty ICAV#§,OrbiMed Advisors LLC,CSC Depositary Services (Ireland) Limited,2026-02-12,2026-05-10
Muzinich Pan-European Senior Private Debt ELTIF-ICAV*†,,Muzinich & Co. (Ireland) Limited,,2026-02-11,2026-05-10
