ICAV Name,Reg Date,Reg Number,In Liquidation,ETF Related
Fidante Partners Liquid Strategies ICAV,2015-03-25,C139365,,
Alma Capital ICAV (in Liquidation),2015-04-02,C139549,Yes,
Manulife Investment Management II ICAV (in liquidation),2015-04-15,C139800,Yes,
The Student Accommodation Fund ICAV,2015-04-22,C125263,,
Real Estate Development & Investment Fund ICAV,2015-04-29,C140091,,
Hurley Property ICAV,2015-05-11,C140579,,
Hines Cherrywood Development Fund ICAV,2015-05-14,C140804,,
Red Arc Global Investments (Ireland) ICAV,2015-05-25,C141045,,
BMO UCITS ETF ICAV (in liquidation),2015-06-08,C139810,Yes,Yes
White Oak ICAV,2015-06-10,C141052,,
PrimeStone Capital Fund ICAV,2015-06-10,C140813,,
Royalty Pharma Investments ICAV,2015-06-10,C141634,,
GoldenTree Multi-Sector Master Fund ICAV,2015-06-15,,,
MontLake Oriel UCITS Platform ICAV,2015-06-15,C141639,,
Crossroads Capital Management Global QIAIF Platform II ICAV,2015-06-24,C142080,,
PCM Global Funds ICAV,2015-07-07,C142346,,
Aurum Funds ICAV,2015-07-30,C143037,,
Amber Capital Investment Management ICAV,2015-08-05,C142868,,
Copper Bridge C 2015 ICAV,2015-08-05,,,
Tideway UCITS Funds ICAV,2015-08-13,C142470,,
State Street ICAV,2015-08-14,C143488,,
IAM Investments ICAV,2015-08-14,C142605,,
The Regional Retail ICAV,2015-08-18,C143632,,
FCS Global Fund Services ICAV,2015-08-20,C143187,,
Goodbody Funds ICAV,2015-08-21,C143674,,
Inverewe Credit Opportunities Master Fund ICAV,2015-08-26,C143327,,
Inverewe Credit Opportunities Fund ICAV,2015-08-26,C143328,,
BlueBay Investment Funds ICAV,2015-08-28,C143847,,
Select Alternative Strategies ICAV,2015-09-04,C139814,,
Multi Fund 10 Umbrella ICAV,2015-09-11,C144137,,
Monroe Capital Private Credit Fund II (Ireland) ICAV,2015-09-23,C144385,,
The Platform ICAV,2015-09-23,C144386,,
Swiss Capital Credit Strategies ICAV,2015-09-23,C143846,,
abrdn Liability Solutions ICAV,2015-09-24,C144122,,
Foundation Quay ICAV (in Liquidation),2015-09-29,,Yes,
Vixit Umbrella ICAV,2015-10-01,C144515,,
Targeted Investment Opportunities ICAV (in liquidation),2015-10-01,C144521,Yes,
GenFunds Global Master ICAV,2015-10-02,C144533,,
GenFunds Global Irish Feeder ICAV,2015-10-02,C144540,,
AKO UCITS Fund ICAV,2015-10-07,C144541,,
Securis Global Funds ICAV,2015-10-22,,,
Blackstone Systematic Credit UCITS ICAV,2015-10-30,C145059,,
Apsley Fund ICAV,2015-10-30,C145294,,
Majulah ICAV,2015-11-04,C145204,,
Axiom Investors ICAV (in liquidation),2015-11-04,C145505,Yes,
St. Stephen's Green Funds ICAV,2015-11-11,C145862,,
Ardstone Partners ICAV,2015-11-16,C433494,,
Platform Capital UCITS ICAV,2015-11-17,C145196,,
RV Capital UCITS Fund ICAV,2015-11-18,C146346,,
The Hammerson ICAV,2015-11-20,,,
Obsidian ICAV,2015-11-24,C146720,,
1OAK Commodity Fund ICAV,2015-11-26,C146817,,
PassIM Alpha Funds ICAV,2015-11-27,C56927,,
Specialist Investment Funds (2) ICAV,2015-11-30,C146816,,
KW Investment Funds ICAV,2015-12-01,C147036,,
Bryant Park QIAIF ICAV,2015-12-01,C147046,,
Pilgrim Global ICAV,2015-12-01,C144542,,
Systematica UCITS Fund ICAV,2015-12-07,C133913,,
Gardena Alternative ICAV,2015-12-08,C145389,,
H2O Global Strategies ICAV,2015-12-11,C144892,,
QNB Global Funds ICAV,2015-12-11,C148240,,
Allianz Jewel Fund ICAV,2015-12-17,C146545,,
Bain Capital Credit Global ICAV,2015-12-17,C148556,,
Marshall Wace Long Strategies ICAV,2015-12-17,C148578,,
Waystone QIAIF Platform ICAV,2015-12-18,C148600,,
Tycho ICAV (prev Kepler Liquid Strategies ICAV),2015-12-22,C148679,,
Kells ICAV,2015-12-22,C148628,,
NEAM Global Funds ICAV,2015-12-31,C90740,,
Real Estate Investment ICAV (in liquidation),2015-12-31,C148941,Yes,
TCI REP International ICAV,2016-01-21,C149152,,
Fermat UCITS ICAV,2016-01-21,C149331,,
QREA Investments ICAV (in liquidation),2016-01-28,C149621,Yes,
Vidaquant QIAIF ICAV,2016-02-03,C150743,,
